



---------------------------------------------
start:2024-07-06T17:33:36.068
---------------------------------------------




rank 5 | trajectory 127 of circuit 5 -- done
rank 0 | trajectory 85 of circuit 3 -- done
rank 12 | trajectory 160 of circuit 3 -- done
rank 1 | trajectory 5 of circuit 7 -- done
rank 8 | trajectory 54 of circuit 1 -- done
rank 2 | trajectory 120 of circuit 5 -- done
rank 7 | trajectory 36 of circuit 4 -- done
rank 10 | trajectory 112 of circuit 3 -- done
rank 5 | trajectory 50 of circuit 3 -- done
rank 9 | trajectory 112 of circuit 1 -- done
rank 23 | trajectory 166 of circuit 2 -- done
rank 8 | trajectory 95 of circuit 1 -- done
rank 20 | trajectory 121 of circuit 2 -- done
rank 20 | trajectory 29 of circuit 3 -- done
rank 13 | trajectory 173 of circuit 4 -- done
rank 20 | trajectory 166 of circuit 3 -- done
rank 18 | trajectory 148 of circuit 3 -- done
rank 18 | trajectory 76 of circuit 4 -- done
rank 7 | trajectory 58 of circuit 3 -- done
rank 9 | trajectory 69 of circuit 1 -- done
rank 24 | trajectory 191 of circuit 3 -- done
rank 2 | trajectory 31 of circuit 4 -- done
rank 24 | trajectory 86 of circuit 1 -- done
rank 15 | trajectory 59 of circuit 4 -- done
rank 22 | trajectory 137 of circuit 7 -- done
rank 12 | trajectory 136 of circuit 4 -- done
rank 16 | trajectory 9 of circuit 2 -- done
rank 9 | trajectory 23 of circuit 2 -- done
