┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382
┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382




---------------------------------------------
start:2024-06-03T22:35:47.842
---------------------------------------------




rank 16 | trajectory 67 of circuit 97 -- done
rank 43 | trajectory 188 of circuit 99 -- done
rank 7 | trajectory 130 of circuit 97 -- done
rank 17 | trajectory 32 of circuit 89 -- done
rank 36 | trajectory 34 of circuit 98 -- done
rank 18 | trajectory 32 of circuit 95 -- done
rank 25 | trajectory 26 of circuit 99 -- done
rank 5 | trajectory 133 of circuit 99 -- done
rank 10 | trajectory 102 of circuit 92 -- done
rank 25 | trajectory 98 of circuit 99 -- done
rank 8 | trajectory 8 of circuit 97 -- done
rank 11 | trajectory 135 of circuit 95 -- done
rank 28 | trajectory 146 of circuit 94 -- done
rank 18 | trajectory 85 of circuit 92 -- done
rank 26 | trajectory 59 of circuit 95 -- done
rank 47 | trajectory 159 of circuit 100 -- done
rank 30 | trajectory 83 of circuit 100 -- done
rank 13 | trajectory 31 of circuit 86 -- done
rank 25 | trajectory 191 of circuit 92 -- done
rank 33 | trajectory 14 of circuit 92 -- done
rank 34 | trajectory 55 of circuit 96 -- done
rank 40 | trajectory 160 of circuit 99 -- done
rank 22 | trajectory 55 of circuit 100 -- done
rank 33 | trajectory 166 of circuit 92 -- done
rank 4 | trajectory 2 of circuit 89 -- done
rank 15 | trajectory 64 of circuit 93 -- done
rank 16 | trajectory 34 of circuit 96 -- done
rank 13 | trajectory 76 of circuit 94 -- done
rank 37 | trajectory 132 of circuit 96 -- done
rank 17 | trajectory 23 of circuit 87 -- done
rank 46 | trajectory 174 of circuit 93 -- done
rank 12 | trajectory 21 of circuit 98 -- done
rank 32 | trajectory 6 of circuit 97 -- done
rank 33 | trajectory 97 of circuit 91 -- done
rank 49 | trajectory 44 of circuit 99 -- done
rank 13 | trajectory 67 of circuit 83 -- done
rank 8 | trajectory 187 of circuit 87 -- done
rank 9 | trajectory 192 of circuit 85 -- done
rank 44 | trajectory 136 of circuit 95 -- done
rank 27 | trajectory 120 of circuit 95 -- done
rank 10 | trajectory 172 of circuit 88 -- done
rank 2 | trajectory 85 of circuit 98 -- done
rank 12 | trajectory 36 of circuit 100 -- done
rank 7 | trajectory 81 of circuit 97 -- done
rank 11 | trajectory 164 of circuit 92 -- done
rank 0 | trajectory 29 of circuit 99 -- done
rank 1 | trajectory 16 of circuit 98 -- done
rank 41 | trajectory 161 of circuit 88 -- done
rank 19 | trajectory 9 of circuit 100 -- done
rank 35 | trajectory 172 of circuit 95 -- done
rank 25 | trajectory 159 of circuit 90 -- done
rank 4 | trajectory 168 of circuit 86 -- done
rank 22 | trajectory 112 of circuit 80 -- done
rank 15 | trajectory 31 of circuit 98 -- done
rank 12 | trajectory 44 of circuit 92 -- done
rank 5 | trajectory 27 of circuit 99 -- done
rank 8 | trajectory 151 of circuit 84 -- done
rank 20 | trajectory 107 of circuit 98 -- done
rank 4 | trajectory 119 of circuit 99 -- done
rank 16 | trajectory 118 of circuit 94 -- done
rank 29 | trajectory 7 of circuit 92 -- done
rank 18 | trajectory 127 of circuit 91 -- done
rank 12 | trajectory 83 of circuit 93 -- done
rank 37 | trajectory 48 of circuit 91 -- done
rank 8 | trajectory 155 of circuit 88 -- done
rank 27 | trajectory 116 of circuit 99 -- done
rank 29 | trajectory 168 of circuit 90 -- done
rank 0 | trajectory 156 of circuit 100 -- done
rank 43 | trajectory 67 of circuit 87 -- done
rank 49 | trajectory 173 of circuit 95 -- done
rank 17 | trajectory 178 of circuit 88 -- done
rank 47 | trajectory 69 of circuit 95 -- done
rank 30 | trajectory 31 of circuit 100 -- done
rank 15 | trajectory 177 of circuit 87 -- done
rank 47 | trajectory 152 of circuit 92 -- done
rank 26 | trajectory 88 of circuit 88 -- done
rank 46 | trajectory 169 of circuit 94 -- done
rank 36 | trajectory 175 of circuit 94 -- done
rank 4 | trajectory 146 of circuit 87 -- done
rank 34 | trajectory 41 of circuit 89 -- done
rank 7 | trajectory 161 of circuit 97 -- done
rank 16 | trajectory 20 of circuit 96 -- done
rank 20 | trajectory 102 of circuit 100 -- done
rank 14 | trajectory 50 of circuit 97 -- done
rank 7 | trajectory 137 of circuit 93 -- done
rank 16 | trajectory 129 of circuit 97 -- done
rank 33 | trajectory 55 of circuit 84 -- done
rank 9 | trajectory 186 of circuit 95 -- done
rank 44 | trajectory 176 of circuit 93 -- done
