



---------------------------------------------
start:2024-07-05T00:07:28.471
---------------------------------------------




rank 11 | trajectory 204 of circuit 1 -- done
rank 5 | trajectory 302 of circuit 1 -- done
rank 23 | trajectory 3108 of circuit 1 -- done
rank 5 | trajectory 952 of circuit 2 -- done
rank 18 | trajectory 1032 of circuit 2 -- done
rank 7 | trajectory 353 of circuit 1 -- done
rank 17 | trajectory 2715 of circuit 1 -- done
rank 22 | trajectory 308 of circuit 1 -- done
rank 11 | trajectory 2229 of circuit 1 -- done
rank 14 | trajectory 3447 of circuit 1 -- done
rank 12 | trajectory 255 of circuit 1 -- done
rank 14 | trajectory 2547 of circuit 1 -- done
rank 22 | trajectory 908 of circuit 1 -- done
rank 21 | trajectory 2674 of circuit 1 -- done
rank 10 | trajectory 2279 of circuit 1 -- done
rank 13 | trajectory 3247 of circuit 1 -- done
rank 18 | trajectory 2165 of circuit 1 -- done
rank 16 | trajectory 2498 of circuit 3 -- done
rank 22 | trajectory 1283 of circuit 3 -- done
rank 15 | trajectory 1856 of circuit 2 -- done
rank 6 | trajectory 1978 of circuit 1 -- done
rank 22 | trajectory 3041 of circuit 3 -- done
rank 24 | trajectory 3492 of circuit 1 -- done
rank 12 | trajectory 2580 of circuit 1 -- done
rank 22 | trajectory 3808 of circuit 1 -- done
rank 17 | trajectory 1531 of circuit 2 -- done
rank 21 | trajectory 3058 of circuit 3 -- done
rank 16 | trajectory 1731 of circuit 1 -- done
rank 7 | trajectory 2678 of circuit 2 -- done
rank 5 | trajectory 177 of circuit 1 -- done
rank 22 | trajectory 2858 of circuit 3 -- done
rank 22 | trajectory 3775 of circuit 2 -- done
rank 13 | trajectory 655 of circuit 1 -- done
rank 16 | trajectory 1964 of circuit 1 -- done
rank 7 | trajectory 2961 of circuit 2 -- done
rank 2 | trajectory 2143 of circuit 1 -- done
rank 15 | trajectory 3764 of circuit 1 -- done
rank 4 | trajectory 377 of circuit 1 -- done
rank 7 | trajectory 2978 of circuit 1 -- done
rank 21 | trajectory 2208 of circuit 1 -- done
rank 2 | trajectory 751 of circuit 2 -- done
rank 16 | trajectory 231 of circuit 1 -- done
rank 5 | trajectory 552 of circuit 1 -- done
rank 10 | trajectory 1179 of circuit 1 -- done
rank 13 | trajectory 2647 of circuit 1 -- done
rank 15 | trajectory 3414 of circuit 1 -- done
rank 7 | trajectory 2295 of circuit 1 -- done
rank 22 | trajectory 2275 of circuit 2 -- done
rank 12 | trajectory 2896 of circuit 1 -- done
rank 24 | trajectory 2509 of circuit 1 -- done
rank 7 | trajectory 1503 of circuit 2 -- done
rank 1 | trajectory 2109 of circuit 1 -- done
rank 2 | trajectory 2176 of circuit 2 -- done
rank 6 | trajectory 2144 of circuit 1 -- done
rank 1 | trajectory 526 of circuit 1 -- done
rank 17 | trajectory 2548 of circuit 1 -- done
rank 16 | trajectory 1631 of circuit 1 -- done
rank 12 | trajectory 2913 of circuit 3 -- done
rank 21 | trajectory 1333 of circuit 1 -- done
rank 10 | trajectory 2912 of circuit 1 -- done
rank 20 | trajectory 2507 of circuit 3 -- done
rank 1 | trajectory 3693 of circuit 2 -- done
rank 8 | trajectory 2545 of circuit 3 -- done
rank 20 | trajectory 1957 of circuit 3 -- done
rank 20 | trajectory 457 of circuit 1 -- done
rank 20 | trajectory 3507 of circuit 2 -- done
rank 4 | trajectory 2144 of circuit 3 -- done
rank 2 | trajectory 3676 of circuit 1 -- done
rank 20 | trajectory 407 of circuit 1 -- done
rank 5 | trajectory 677 of circuit 1 -- done
rank 12 | trajectory 3763 of circuit 1 -- done
rank 20 | trajectory 482 of circuit 1 -- done
rank 4 | trajectory 3527 of circuit 2 -- done
rank 19 | trajectory 332 of circuit 1 -- done
rank 20 | trajectory 132 of circuit 1 -- done
rank 6 | trajectory 2744 of circuit 1 -- done
rank 19 | trajectory 2732 of circuit 3 -- done
rank 11 | trajectory 2563 of circuit 1 -- done
rank 24 | trajectory 459 of circuit 1 -- done
rank 17 | trajectory 106 of circuit 2 -- done
rank 21 | trajectory 3141 of circuit 2 -- done
rank 2 | trajectory 1351 of circuit 1 -- done
rank 5 | trajectory 2427 of circuit 1 -- done
rank 4 | trajectory 352 of circuit 1 -- done
rank 8 | trajectory 3412 of circuit 1 -- done
rank 24 | trajectory 2692 of circuit 2 -- done
rank 17 | trajectory 2098 of circuit 1 -- done
rank 15 | trajectory 1947 of circuit 3 -- done
rank 22 | trajectory 3541 of circuit 1 -- done
rank 3 | trajectory 202 of circuit 2 -- done
rank 1 | trajectory 3376 of circuit 3 -- done
rank 10 | trajectory 3729 of circuit 1 -- done
rank 4 | trajectory 3127 of circuit 3 -- done
rank 7 | trajectory 903 of circuit 2 -- done
rank 0 | trajectory 1992 of circuit 1 -- done
rank 11 | trajectory 1879 of circuit 1 -- done
rank 11 | trajectory 3363 of circuit 1 -- done
rank 16 | trajectory 2114 of circuit 2 -- done
rank 10 | trajectory 2929 of circuit 2 -- done
rank 2 | trajectory 2126 of circuit 2 -- done
rank 5 | trajectory 3294 of circuit 1 -- done
rank 18 | trajectory 432 of circuit 1 -- done
rank 21 | trajectory 1158 of circuit 1 -- done
rank 15 | trajectory 1381 of circuit 2 -- done
rank 1 | trajectory 476 of circuit 1 -- done
rank 5 | trajectory 2011 of circuit 1 -- done
rank 12 | trajectory 3730 of circuit 2 -- done
rank 17 | trajectory 2481 of circuit 3 -- done
rank 8 | trajectory 1378 of circuit 3 -- done
rank 19 | trajectory 957 of circuit 1 -- done
rank 24 | trajectory 1834 of circuit 1 -- done
rank 21 | trajectory 283 of circuit 2 -- done
rank 7 | trajectory 1478 of circuit 2 -- done
rank 20 | trajectory 3041 of circuit 1 -- done
rank 24 | trajectory 3042 of circuit 2 -- done
rank 3 | trajectory 3277 of circuit 3 -- done
rank 9 | trajectory 2379 of circuit 1 -- done
rank 7 | trajectory 3211 of circuit 1 -- done
rank 6 | trajectory 1378 of circuit 2 -- done
rank 0 | trajectory 1326 of circuit 1 -- done
rank 23 | trajectory 633 of circuit 1 -- done
rank 17 | trajectory 3131 of circuit 2 -- done
rank 16 | trajectory 2514 of circuit 1 -- done
rank 13 | trajectory 3430 of circuit 3 -- done
rank 20 | trajectory 1832 of circuit 1 -- done
rank 10 | trajectory 254 of circuit 1 -- done
rank 21 | trajectory 1758 of circuit 3 -- done
rank 7 | trajectory 153 of circuit 2 -- done
rank 16 | trajectory 2931 of circuit 3 -- done
rank 11 | trajectory 1029 of circuit 1 -- done
rank 12 | trajectory 2346 of circuit 1 -- done
rank 15 | trajectory 2347 of circuit 2 -- done
rank 0 | trajectory 2576 of circuit 3 -- done
rank 14 | trajectory 3814 of circuit 1 -- done
rank 19 | trajectory 3432 of circuit 2 -- done
rank 22 | trajectory 2725 of circuit 2 -- done
rank 4 | trajectory 677 of circuit 2 -- done
rank 13 | trajectory 2147 of circuit 2 -- done
rank 23 | trajectory 2042 of circuit 3 -- done
rank 20 | trajectory 2091 of circuit 1 -- done
rank 15 | trajectory 3697 of circuit 2 -- done
rank 17 | trajectory 2165 of circuit 2 -- done
rank 21 | trajectory 508 of circuit 1 -- done
rank 20 | trajectory 1432 of circuit 1 -- done
rank 2 | trajectory 2593 of circuit 1 -- done
rank 17 | trajectory 1881 of circuit 2 -- done
rank 15 | trajectory 1581 of circuit 1 -- done
rank 8 | trajectory 1878 of circuit 1 -- done
rank 1 | trajectory 1601 of circuit 2 -- done
rank 15 | trajectory 2281 of circuit 1 -- done
rank 22 | trajectory 2341 of circuit 1 -- done
rank 6 | trajectory 2994 of circuit 2 -- done
rank 21 | trajectory 3624 of circuit 2 -- done
rank 20 | trajectory 3291 of circuit 2 -- done
rank 4 | trajectory 2927 of circuit 2 -- done
rank 24 | trajectory 2309 of circuit 1 -- done
rank 20 | trajectory 982 of circuit 1 -- done
rank 8 | trajectory 3512 of circuit 2 -- done
rank 1 | trajectory 1501 of circuit 2 -- done
rank 6 | trajectory 2278 of circuit 1 -- done
rank 4 | trajectory 1727 of circuit 3 -- done
rank 20 | trajectory 1457 of circuit 1 -- done
rank 17 | trajectory 56 of circuit 1 -- done
rank 18 | trajectory 2848 of circuit 1 -- done
rank 17 | trajectory 1948 of circuit 1 -- done
rank 4 | trajectory 2644 of circuit 2 -- done
rank 4 | trajectory 2177 of circuit 1 -- done
rank 20 | trajectory 3257 of circuit 3 -- done
rank 2 | trajectory 1 of circuit 2 -- done
